customer_id,first_name,last_name,email,street,city,state,country
1,Michele,Schultz,phelpsstephanie@example.org,8301 Rodriguez Course,East Pamela,Nevada,Paraguay
2,Alicia,Roman,gina41@example.com,25732 Martinez Ports,Michellehaven,Washington,Hong Kong
3,Robert,King,christopher02@example.org,4920 Nicholas Skyway,Courtneymouth,Tennessee,Barbados
4,Cindy,Levy,martinezruth@example.org,778 Walker Harbor Suite 516,Alisonmouth,Arizona,Tanzania
5,Shawn,Park,jeff83@example.com,2061 Walker Dam,Richardstown,Arkansas,Lebanon
6,Benjamin,Bond,denise12@example.org,4487 Aaron Fords Apt. 725,Brandonberg,Utah,United States of America
7,Aaron,Mason,glee@example.org,6743 Williams Plain Suite 681,Port Jennifer,Nebraska,Saint Kitts and Nevis
8,Denise,Collins,michaelreed@example.net,09046 Allen Mountains Suite 903,Crystalmouth,Ohio,Austria
9,Samantha,Cook,yharris@example.net,16207 Jones Square,Delacruzbury,Maryland,Madagascar
10,Amber,Mcdaniel,snyderkevin@example.org,67513 Potter Plains,Reynoldston,Colorado,Bermuda
11,Rebecca,Randolph,xroberson@example.org,181 Misty Passage,Lake Melanie,Maryland,Northern Mariana Islands
12,Gabriella,Barber,qsaunders@example.com,9332 Tiffany Streets,North Kristenfort,Minnesota,Norfolk Island
13,Breanna,Knight,austinrodriguez@example.com,793 Hernandez Prairie,New Rosschester,Tennessee,Kiribati
14,Alexander,Taylor,brian08@example.org,2045 Zavala Via Suite 762,Campbellfort,Alaska,Heard Island and McDonald Islands
15,Erin,Wilkins,arthur92@example.org,86208 Braun Springs Apt. 650,East Brenda,Nevada,Cuba
16,Lindsay,Ashley,lsteele@example.org,864 Norman Circle,South Derek,Georgia,Bangladesh
17,Sheila,Burns,uhernandez@example.net,754 Timothy Ferry Apt. 737,Lewisborough,Illinois,Holy See (Vatican City State)
18,William,Meza,stephen42@example.net,828 Wilson Hill,East Kelly,Nevada,Bangladesh
19,Shannon,Acevedo,jason16@example.com,51775 Gonzales Mall,Ethanmouth,Mississippi,Zimbabwe
